,industry_code_wage,industry_title_wage,recovery_wage,peak_wage,growth_wage,growth_pcg_wage,recovery_empl,peak_empl,growth_empl,growth_pcg_empl
224,3324,"Boiler, tank, and shipping container mfg.",2010.0,1142.0,121.0,10.595446584938705,2014.75,1980.0,8.0,0.40404040404040403
225,3325,Hardware manufacturing,2007.25,0.0,0.0,,2007.25,733.0,-60.0,-8.185538881309688
226,3326,Spring and wire product manufacturing,2010.0,892.0,145.0,16.255605381165918,2007.25,1528.0,-171.0,-11.19109947643979
227,3327,Machine shops and threaded product mfg.,2011.0,999.0,-999.0,-100.0,2007.25,23961.0,-1074.0,-4.4822837110304246
228,3328,"Coating, engraving, and heat treating metals",2010.0,873.0,110.0,12.600229095074456,2007.25,6944.0,-526.0,-7.574884792626728
229,3329,Other fabricated metal product manufacturing,2011.0,1053.0,152.0,14.4349477682811,2013.75,6636.0,271.0,4.083785412899337
230,3331,"Ag., construction, and mining machinery mfg.",2007.25,0.0,0.0,,2009.5,3675.0,398.0,10.829931972789115
231,3332,Industrial machinery manufacturing,2011.0,1344.0,332.0,24.702380952380953,2007.25,4077.0,-150.0,-3.679175864606328
232,3333,Commercial and service industry machinery,2010.0,1236.0,161.0,13.025889967637541,2007.25,2869.0,-130.0,-4.531195538515162
233,3334,Hvac and commercial refrigeration equipment,2010.0,933.0,165.0,17.684887459807076,2009.25,2133.0,113.0,5.2977027660571965
234,3335,Metalworking machinery manufacturing,2011.0,1120.0,118.0,10.535714285714286,2007.25,10286.0,-1654.0,-16.08010888586428
235,3336,Turbine and power transmission equipment mfg.,2011.0,1397.0,57.0,4.08017179670723,2009.5,1177.0,89.0,7.561597281223449
236,3339,Other general purpose machinery manufacturing,2010.0,1158.0,214.0,18.48013816925734,2014.25,6763.0,115.0,1.7004288037853021
237,3341,Computer and peripheral equipment mfg.,2010.0,2552.0,737.0,28.879310344827587,2015.0,1721.0,5.0,0.2905287623474724
238,3342,Communications equipment manufacturing,2007.25,0.0,0.0,,2012.25,2263.0,14.0,0.6186478126380911
239,3343,Audio and video equipment manufacturing,2009.5,1425.0,251.0,17.614035087719298,2009.5,697.0,4.0,0.5738880918220948
240,3344,Semiconductor and electronic component mfg.,2007.25,0.0,0.0,,2007.25,5921.0,-232.0,-3.918257051173788
241,3345,Electronic instrument manufacturing,2007.25,0.0,0.0,,2010.75,7467.0,468.0,6.267577340297308
242,3346,Magnetic media manufacturing and reproducing,2009.75,1524.0,275.0,18.04461942257218,2007.25,1172.0,-350.0,-29.86348122866894
243,3351,Electric lighting equipment manufacturing,2010.0,1067.0,208.0,19.49390815370197,2013.75,1404.0,77.0,5.484330484330484
244,3352,Household appliance manufacturing,2010.0,1017.0,114.0,11.209439528023598,2007.25,524.0,-5.0,-0.9541984732824428
245,3353,Electrical equipment manufacturing,2010.0,1191.0,-1191.0,-100.0,2007.25,2908.0,-44.0,-1.5130674002751032
246,3359,Other electrical equipment and component mfg.,2007.25,0.0,0.0,,2009.75,2605.0,258.0,9.904030710172746
247,3361,Motor vehicle manufacturing,2010.0,1611.0,-37.0,-2.2967101179391682,2009.75,497.0,-17.0,-3.420523138832998
248,3362,Motor vehicle body and trailer manufacturing,2011.25,0.0,970.0,inf,2007.25,2425.0,-377.0,-15.546391752577318
249,3363,Motor vehicle parts manufacturing,2010.0,1054.0,74.0,7.020872865275142,2007.25,6307.0,-707.0,-11.20976692563818
250,3364,Aerospace product and parts manufacturing,2007.25,0.0,0.0,,2009.5,3087.0,71.0,2.299967606090055
